0.05,9.10E-09,9.79E-09,1.05E-08,1.13E-08,1.22E-08,1.31E-08,1.41E-08,1.51E-08,1.62E-08,1.74E-08,1.86E-08,1.99E-08,2.13E-08,2.28E-08,2.44E-08,2.60E-08
0.055,9.19E-09,9.96E-09,1.08E-08,1.17E-08,1.26E-08,1.37E-08,1.48E-08,1.60E-08,1.72E-08,1.86E-08,2.00E-08,2.16E-08,2.32E-08,2.50E-08,2.68E-08,2.88E-08
0.06,9.28E-09,1.01E-08,1.10E-08,1.20E-08,1.31E-08,1.42E-08,1.55E-08,1.68E-08,1.83E-08,1.99E-08,2.15E-08,2.33E-08,2.53E-08,2.73E-08,2.95E-08,3.19E-08
0.065,9.38E-09,1.03E-08,1.13E-08,1.24E-08,1.36E-08,1.49E-08,1.63E-08,1.78E-08,1.94E-08,2.12E-08,2.32E-08,2.52E-08,2.75E-08,2.99E-08,3.25E-08,3.53E-08
0.07,9.47E-09,1.05E-08,1.16E-08,1.27E-08,1.41E-08,1.55E-08,1.71E-08,1.88E-08,2.06E-08,2.27E-08,2.49E-08,2.73E-08,2.99E-08,3.27E-08,3.57E-08,3.90E-08
0.075,9.57E-09,1.06E-08,1.18E-08,1.31E-08,1.46E-08,1.62E-08,1.79E-08,1.98E-08,2.19E-08,2.42E-08,2.67E-08,2.95E-08,3.25E-08,3.58E-08,3.93E-08,4.31E-08
0.08,9.67E-09,1.08E-08,1.21E-08,1.35E-08,1.51E-08,1.68E-08,1.88E-08,2.09E-08,2.33E-08,2.59E-08,2.87E-08,3.19E-08,3.53E-08,3.91E-08,4.32E-08,4.77E-08
0.085,9.78E-09,1.10E-08,1.24E-08,1.39E-08,1.56E-08,1.76E-08,1.97E-08,2.21E-08,2.47E-08,2.76E-08,3.09E-08,3.44E-08,3.84E-08,4.27E-08,4.75E-08,5.27E-08
0.09,9.88E-09,1.12E-08,1.27E-08,1.43E-08,1.62E-08,1.83E-08,2.06E-08,2.33E-08,2.62E-08,2.95E-08,3.31E-08,3.72E-08,4.17E-08,4.67E-08,5.22E-08,5.83E-08
0.095,9.99E-09,1.14E-08,1.30E-08,1.48E-08,1.68E-08,1.91E-08,2.16E-08,2.45E-08,2.78E-08,3.15E-08,3.56E-08,4.02E-08,4.53E-08,5.10E-08,5.74E-08,6.44E-08
0.1,1.01E-08,1.16E-08,1.33E-08,1.52E-08,1.74E-08,1.99E-08,2.27E-08,2.59E-08,2.95E-08,3.36E-08,3.82E-08,4.34E-08,4.92E-08,5.57E-08,6.30E-08,7.11E-08
0.105,1.02E-08,1.18E-08,1.36E-08,1.57E-08,1.80E-08,2.07E-08,2.38E-08,2.73E-08,3.13E-08,3.58E-08,4.10E-08,4.68E-08,5.34E-08,6.09E-08,6.92E-08,7.85E-08
0.11,1.03E-08,1.20E-08,1.39E-08,1.61E-08,1.87E-08,2.16E-08,2.49E-08,2.88E-08,3.32E-08,3.82E-08,4.40E-08,5.05E-08,5.80E-08,6.64E-08,7.60E-08,8.67E-08
0.115,1.04E-08,1.22E-08,1.42E-08,1.66E-08,1.93E-08,2.25E-08,2.61E-08,3.03E-08,3.52E-08,4.08E-08,4.72E-08,5.45E-08,6.30E-08,7.25E-08,8.34E-08,9.57E-08
0.12,1.05E-08,1.24E-08,1.46E-08,1.71E-08,2.00E-08,2.34E-08,2.74E-08,3.20E-08,3.73E-08,4.35E-08,5.06E-08,5.89E-08,6.83E-08,7.92E-08,9.15E-08,1.06E-07
0.125,1.07E-08,1.26E-08,1.49E-08,1.76E-08,2.07E-08,2.44E-08,2.87E-08,3.37E-08,3.95E-08,4.64E-08,5.43E-08,6.35E-08,7.41E-08,8.64E-08,1.00E-07,1.16E-07
0.13,1.08E-08,1.28E-08,1.53E-08,1.81E-08,2.15E-08,2.54E-08,3.00E-08,3.55E-08,4.19E-08,4.95E-08,5.83E-08,6.85E-08,8.04E-08,9.41E-08,1.10E-07,1.28E-07
